Name,playerid,WAR39,WAR40,WAR41
Jerry Koosman,1007103,3.7,1.5,4.7
Tom Seaver,1011708,3.2,3.9,2.6
Jamie Moyer,1091,3.8,3.8,-0.2
Koji Uehara,9227,1.1,1.4,0.6
Joe Niekro,1009582,2.0,-0.1,0.5
Miguel Batista,46,-0.5,-0.1,-0.4
Dennis Eckersley,1003660,0.9,0.9,0.7
Gaylord Perry,1010210,5.9,4.3,3.7
Mike Morgan,67,0.4,0.7,0.4
Kent Tekulve,1012905,2.0,1.1,0.7
Woodie Fryman,1004381,0.5,1.9,0.7
Kenny Rogers,1277,3.2,3.1,2.1
Charlie Hough,1006050,3.7,2.7,-0.8
Danny Darwin,1002996,-0.4,2.5,0.8
Warren Spahn,1012299,2.9,3.2,3.6
David Wells,855,4.5,3.8,3.1
Rick Reuschel,1010852,3.9,2.4,0.8
Bartolo Colon,375,2.6,4.0,2.8
Rich Gossage,1004894,0.0,-0.3,-0.1
Tom Glavine,90,3.7,2.9,1.5
Dennis Martinez,1008161,3.6,3.3,1.5
Greg Maddux,104,3.3,4.3,3.9
LaTroy Hawkins,729,-0.1,1.2,0.7
Don McMahon,1008629,0.9,0.2,-0.2
Mike Timlin,1187,1.8,0.2,0.0
Trevor Hoffman,1035,1.9,0.4,1.7
Roy Face,1003891,0.2,0.4,-0.6
Arthur Rhodes,1097,0.8,0.8,-0.8
Tom Candiotti,1001911,0.2,1.2,0.0
Jesse Orosco,667,0.8,0.1,0.4
Steve Carlton,1001964,3.9,0.5,0.5
Jim Kaat,1006660,1.7,0.5,1.1
Mariano Rivera,844,2.0,1.8,2.2
R.A. Dickey,1245,1.7,1.8,0.9
Don Sutton,1012745,3.3,3.0,2.2
Jose Mesa,961,-0.3,-0.3,-0.5
Terry Mulholland,665,-0.4,-0.9,0.5
Larry Andersen,1000236,0.8,1.5,0.3
Tommy John,1006515,3.9,3.3,1.8
Hoyt Wilhelm,1013945,1.7,2.6,1.9
Roger Clemens,815,4.3,4.5,5.7
Tim Wakefield,219,1.2,1.9,1.0
Dan Plesac,1319,1.2,0.1,0.7
Jeff Fassero,279,-0.1,-0.8,1.3
Nolan Ryan,1011348,3.2,6.4,3.4
Doug Jones,1006552,1.0,2.8,-0.2
Darren Oliver,206,1.5,1.2,1.1
Phil Niekro,1009583,8.6,4.1,3.7
Randy Johnson,60,2.4,9.6,4.1
Ron Reed,1010773,1.5,1.4,1.2
Roberto Hernandez,605,-0.2,1.0,0.3
