"Name","playerid","","","Cluster"
"Chris Capuano","   1701","2.9","2.9","E"
"Ron Guidry","1005124","2.8","2.8","B"
"Geoff Zahn","1014410","2.7","2.7","A"
"Ed Whitson","1013911","3","3","F"
"Mike Morgan","     67","2.8","2.8","B"
"Jim Palmer","1009973","2.6","2.6","C"
"Hideo Nomo","    666","2.9","2.9","E"
"Ryan Dempster","    517","2.5","2.5","D"
"Hisashi Iwakuma","  13048","2.7","2.7","A"
"Mike Torrez","1013134","2.6","2.6","C"
"J.A. Happ","   7410","2.9","2.9","E"
"Wandy Rodriguez","   2586","2.8","2.8","B"
"Ricky Nolasco","   3830","2.8","2.8","B"
"Walt Terrell","1012924","2.7","2.7","A"
"Rich Gossage","1004894","2.6","2.6","C"
"Larry Gura","1005150","2.7","2.7","A"
"Frank Viola","1013435","2.7","2.7","A"
"Wilson Alvarez","   1193","2.5","2.5","D"
"Robin Roberts","1011046","2.8","2.8","B"
"Steve Carlton","1001964","2.8","2.8","B"
"Jim Kaat","1006660","2.6","2.6","C"
"Mariano Rivera","    844","2.5","2.5","D"
"Fred Norman","1009632","2.7","2.7","A"
"Don Sutton","1012745","2.7","2.7","A"
"Terry Mulholland","    665","2.5","2.5","D"
"Billy Pierce","1010326","2.7","2.7","A"
"Roy Oswalt","    571","2.8","2.8","B"
"Seunghwan Oh","  18719","2.6","2.6","C"
"John Denny","1003210","2.6","2.6","C"
"Shane Reynolds","    574","2.6","2.6","C"
