Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7
Mike Cuellar,1002853,0.4,0.8,6.1,5.1,3.3,6.6,4.8
Jerry Koosman,1007103,3.6,5.4,2.3,2.2,2.9,4.4,5.4
J.R. Richard,1010913,1.8,0.5,2.3,3.3,5,6.4,8.9
Corey Kluber,2429,0.8,2.9,7.1,5.5,5,7.3,5.5
Mike Witt,1014174,1.6,3.8,0.7,5.9,4.7,6.7,4
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4,4.5
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5,3.9,6.2
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1
Dean Chance,1002130,3.5,4.8,7.6,3.2,2.9,6.9,7.7
Bob Gibson,1004662,1.1,3.9,6,4.4,5.8,5.1,6
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6
Kevin Millwood,106,1.3,3.4,5.5,4,0.9,4.6,4.7
David Cone,1680,0.5,5.3,3.3,5,6.5,5.2,3.9
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7,6.8,5.3
Chris Sale,10603,1.1,4.8,4.9,5.1,5.6,5.4,7.5
Erik Hanson,1005333,0.9,2.4,6.6,3.5,3.1,4.9,3.1
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7
Jack McDowell,1008473,1.4,2.9,5.2,4.8,5.2,4.9,3.5
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5
Josh Beckett,510,1.9,4,3.3,4.2,1,5.7,4.3
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4
Charles Nagy,397,0,3.2,7,0.6,3.5,3.2,5.4
Dock Ellis,1003747,0.7,4.2,3.4,3.7,3.9,4.4,3
Steve Carlton,1001964,0.9,4.4,4,4.9,3.6,3.1,11.1
Jim Kaat,1006660,-0.3,3.8,5.4,1.9,4.7,4.3,6.4
Andy Messersmith,1008799,1.3,5,2.3,3.5,3.5,3.2,5.6
Max Scherzer,3137,1.1,2.7,4,2.3,4.5,5.9,5.6
Johan Santana,755,0,0,3.4,3.7,6.8,7.1,6.7
Don Sutton,1012745,4.7,3,4,3.9,1.9,7.1,6.8
CC Sabathia,404,2.7,3.6,3.5,2.8,3.6,5,6.4
Dan Haren,1757,0.7,0.5,3.7,3.8,4.7,6.1,5.3
Tommy John,1006515,1.1,3,3.8,2.6,2.9,3.8,4.4
Brad Radke,748,0.8,2.8,4.9,4.2,3.7,4.2,4.5
Madison Bumgarner,5524,1.7,4.3,2.6,3.5,3.6,5,4.3
Stephen Strasburg,10131,2.3,4,3.2,4.5,3.4,3.9,5.8
Jeff Fassero,279,1.3,1.3,3.5,2.9,3.6,5.9,5
Jake Peavy,1051,1.7,0.8,4.1,5.4,4.4,6.7,3.7
Dave Goltz,1004818,1.2,1.4,2.4,4,3.3,6,4.4
Mickey Lolich,1007712,1.9,4.4,5.1,2.2,4.6,3.2,6
Cliff Lee,1636,0.7,1.1,3.8,2.3,0.1,6.8,6.4
Nolan Ryan,1011348,0.6,1.7,1.1,0.6,5.4,8.7,6.8
James Shields,7059,1.7,4,4.1,3.4,2.1,4.9,3.8
David Price,3184,1.1,4.3,4.8,4.3,3.9,5.6,6.7
Randy Johnson,60,1.6,2,2.6,3.4,7,5.2,9.5
